speaker	span	translation
	Доптан қорқамын	Scared of the ball, of something else, of the bike.
	бірдеңе қорқамын	
	Велосипедтен қорқамын	
	Шикарно	Nice.
	МММ	
SPK4001	Мен де қорқамын	I am also scared of it thinking will I fall.
	негізі	
	Құлаймын: ба	
	деп	
	Бір жерімді ауыртып алсам	it heals for a long time if I hurt some place.
	ұзақ:	
	не істейді ғой еще	
	жазылуға	
	ұзақ уақыт керек	
	Енді анда	Well, you know, but let me tell.
	білесің ғой	
	бірақ айта берейін	
	Ана	I told how I was running backwards in the tenth grade at school.
	оныншы класта ма	
	мектепте	
	артқа қарай	
	жүгіріп бара жатқанымды	
	айттым ғой	
SPK4002	Мхм	Mhm
SPK4001	иә	And it was the physical education lesson.
	дене	
	шынықтыру болып жатты	
SPK4002	МММ	Move on a little here.
	Былай тұршы	
	былай	
	иә	Yes.
SPK4001	Дене шынықтыру болып жатты	It was the physical education and then our teacher organized something new.
	сосын	
	біздің	
	мұғалім	
	өзінше бір	
	новый	
	бірдеңе	
	ұйымдастырып отыр	
	Күн сайын негізі	We used to do warm-up exercises every day.
	барғанда	
	не істейтін едік	
	Просто қыздырыну	
	жаттығуын істейсің	
	Сосын	Then it was the third semester when we had PE inside of the building.
	үшінші тоқсан болды	
	анау іште болғанда	
	Гимнастика ма	Was gymnastics in the third semester?
	үшінші тоқсанда ма еді	
SPK4002	Мхм	Mhm
	Екі	The second?
SPK4001	Екінші тоқсан ба	The second semester?
SPK4002	иә	Yes.
SPK4001	Білмеймін әйтеуір	I don't know but it is inside of the building.
	іште өтеді ғой	
SPK4002	Пиво ішке	The beer goes in, sir.
	аға	
SPK4001	Гимнастика	She made us do some gymnastics.
	сондай бірдемелердің	
	істетеді	
	Сосын	
	біз отырамыз	Then we sat, intending to run.
	Жүгіреміз дейтін сияқты	
	Ана күні	Maybe she wanted to make that day more interesting?
	кішкене	
	сол қызық	
	етіп өткізгісі келді ма:	
	Жарыстырды:	She made us race like a relay race.
	эстафета сияқты	
	Сөйтіп жүргенде	In the middle of it or what, I ran backwards.
	мен	
	артқа қарай	
	жүгірдім	
	Жүгіргенде де	And when I ran, I didn't run right.
	жүгірген жоқпын дұрыс	
	Өзім ойладым	I thought to myself, maybe I would fall inwards.
	ішімнен құлайтын шығармын	
	деп	
	Өзімнің	I could not control my body or something.
	денемді дұрыс басқара алмаймын ба	
	сондай бірдеңе	
SPK4002	Мхм	Mhm
SPK4001	Еще	Besides, you need to know, ugh, how to fall, you have learn it.
	дұрыс құлау—	
	Ugh	
	білу керек қой	
	оны үйрену керек қой	
	Паркурлар ана	Parkourists, they show how to fall.
SPK4002	Мхм	Mhm
SPK4001	паркурщиктар	
	Қалай құлау керек екенін көрсетеді ғой	
	Мен ойладым	I thought, for example, if I fall and turn my hand into a supporting base, they will hurt.
	мысалы	
	Құласам	
	қолмен тіреп қалсам	
	қолым ауырып кетеді	
	МММ	
	Артқа қарай сол	When I run backwards, I said to people that my sneakers were stuck in the floor.
	жүріп бара отырғанда	
	адамдарға айтқанда	
	кроссовкаң	
	не	
	полға дейтін	
	тіреліп қалды деп айтам	
	Бірақ сол	But they did not stuck anywhere.
	ештеңе тірелмеген не сияқты ма	
	Просто өзім	I just could not lift my feet.
	аяғымды көтере алмай	
	әйтеуір	
SPK4002	Мхм	Mhm
	А иә иә иә	Oh yes, now I remember.
	енді	
	есіме түсті	
SPK4001	иә	Yes.
	Отырып қалдым	I just sat on the ground
	жерге	
	А нормально шығар	I thought it was okay and when I wanted to move, I could not
	деп ойладым да	
	сосын	
	қозғалайын десем	
	қозғала алмаймын ғой	
	Дем ала алмаймын	I could not breathe, my back, spine, and everything got numb as if it was an electric shock.
	как бы	
	белім	
	арқам	
	барлығы	
	омыртˈқам бүйˈтіп	
SPK4002	Мхм	Mhm
SPK4001	не істеп	
	тоқ соққан	
	сияқты болып кетті	
	Тоқ соққан да емес даже	Not that the electric shock, I just could not move.
	просто	
	қозғалмай қалды ғой	
	Дем ала алмай қалдым	I could not breathe.
	Мына	
	өкпем дейтін	My lungs as if have stopped, felt like they did not function at all.
	Просто	
	бір	
	неде тоқтап	
	қалған сияқты	
	тұрып қалған сияқты	
	Содан екі апта үйде жаттым:	After that I rested at home for two weeks.
	Дем алдым:	
	деген сияқты	
SPK4002	МММ	
SPK4001	Одан кейін сосын	Then, I did not participate in PE for a good half year.
	жарты жыл денеге дұрыс қатыспадым	
	Белім ауырады	You say my back hurts and do your yoga or whatever, and I don't even have any prescription paper.
	белім ауырады	
	деп қоясың	
	Бүйтіп	
	жайлап:	
	өзіңнің йогаңды істейсің ба	
	не істейсің	
	отырасың ба	
	ешқандай медицинский	
	(H)	
	нем жоқ	
	Қағазым жоқ бірақ	Although I don't have the prescription, the teacher has seen how I fell.
	мұғалім енді	
	көрді ғой	
	құлап қалғанымды	
	и	"""You better don't run"" she says to me."
	сен	
	жүгірмей ақ қой	
	дейді маған	
	Жарайды жарайды	"I say ""Alright, alright, thanks teacher"""
	рахмет апай деп	
SPK4002	Сол апай болды ма не	Did you have her as the teacher?
SPK4001	Күшті	Good.
SPK4002	сендерде	
SPK4001	Бізде былай болды—	It was like that—
	Ugh	
	Ер балаларға	Boys had a male teacher and us, girls had a woman teacher.
	ағай	
SPK4002	Мхм	Mhm
SPK4001	Біздерге	
	қыздарға	
	апай	
SPK4002	ААА	Oh, ### good.
	###	
	күшті	
SPK4001	Бірақ жақсы дегенде	But aside telling that it was good, two classes had a PE at once.
	Ugh	
	Екі	
	класта қатар өтеді ғой	
SPK4002	Мхм	Mhm
SPK4001	Орыс класының апайы	The teacher for the Russian class did better exercises.
	кішкене	
SPK4002	Жастау	Is she younger?
SPK4001	жақсырақ жаттығулар істейді	
SPK4002	ААА	
SPK4001	Енді	Those you see in Youtube?
	Ютубтан қарағанда	
	көресің ғой	
SPK4002	Мхм	Mhm
SPK4001	Там как	They follow the rules there: how to sit and stand.
	Бәрін	
	по правилам	
	қалай отыру керек	
	қалай тұру керек	
	Қай жеріңді	How to bend that place, how to do the arm like that, bending to ninety degrees.
	Ugh	
	бүйтіп	
	қою керек	
	қолыңды былай істейсің	
	Ортасында	
	ана	
	бұрышы тоқсан	
	градус болу керек деп	
	Соның бәрін айтады	She COMucts on that, but our teacher is a bit older.
	а біздің апай	
	кішкене	
	үлкендеу ғой енді	
SPK4002	Бәрібір деп айтсаңшы	Things don't matter to her.
SPK4001	иә бәрібір	Yes, don't matter.
	Бірақ көп ұрыспады	But she didn't yell a lot.
SPK4002	¬Дина	¬Dina went to Almaty, right?
	К—	
	кетіп қалды ғой	
	Алматыға	
SPK4001	иә	Yes.
SPK4002	Сол маған	That day this seemed to me the first [of the month].
	бірі күні сияқты болып	
	көрініп тұр	
	Как будто—	As if—
SPK4001	Өзің бармағасын	it seems because you did not go, isn't it?
	солай көрінеді ма	
SPK4002	Бірнеше күн	Because she is not with us for a couple of days, oh, for  one or two days, right?
SPK4001	Сыртынан	Outer perspective.
SPK4002	емес	
	##	
	жоқ	
	қасымызда	
SPK4001	иә иә	Yes, yes.
SPK4002	жүрмегесін	
	ААА	
	бір	
	бір екі күн ба	
	Сондай сияқты	
	бір	
	Ощущение сондай	i have that impression.
SPK4001	Hx)	
	Еще жазып қоям десеңші	Say that you also text her you miss her and something.
	сағындым:	
	бірдеңе деп	
SPK4002	Соны: айтам	Exactly.
SPK4001	Өтірік жазып отырсың ба не	Are you texting her the lie?
SPK4002	ААА	The truth.
SPK4001	Ну—	Well, sort of.
SPK4002	Шын	
SPK4001	Типо типо	
SPK4002	Мен наоборот сол	I oppositely ###.
	###	
	CLICKIN THE TONGUE)	
	Эх	Ah If ¬Dina was here, she would have did that and told that.
	¬Дина болса	
	қазір	
	бүйтетін сөйтетін еді	
	бүйтіп айтатын еді	
