speaker	span	translation
SPK0024	Ну иә ол ол,	Yes, this happened years later.
	одан кейін ғой әгі.	
SPK0026	Иә.	Yes.
SPK0024	Ішіп жүрген кезде.	When he was drinking.
SPK0027	Одан кейін ғой ол.	Yes, this happened long after that.
	####	
SPK0026	Жоқ сол,	No, yes, I am talking about things that happened after you got married.
SPK0027	Үйленгеннен кейін.	After we got married.
SPK0026	үйленгеннен кейін,	
SPK0027	Иә.	Yes.
SPK0026	нәрселеріңді айтып отырмын.	
	Содан кейін кел-,	"Then I said, ""Come""."
	кел дедім.	
SPK0027	@@@@@	
	Жасыл горшок бар қолда.	I have a green baby potty in my hands.
SPK0026	Кел,	"'Come, there is my sister at home as well""."
	тәтем бар.	
	Тәтем бар болатын.	There was my sister at home.
SPK0027	Горшокты пакетке салып аласың да @@@@@@	I put the potty in a bad like I usually would...
SPK0025	@@@@@@@	
SPK0023	@@@@@@@@	
SPK0024	@@@@@@@@	
SPK0026	@@@@@@@	
	Содан кейін,	Then she got home.
SPK0027	Ол кезде памперс жоқ.	There weren't dipers back then.
SPK0026	же:тті.	
	@@	
SPK0014	Жүр.	Let's go.
SPK0026	Жетті.	She got home.
SPK0014	Мені қолмен ұстап алған.	She grabbed me with her hands.
SPK0026	Жеткеннен кейін,	After she got home, I said...
SPK0027	####	
SPK0026	әгі,	
	немене еді,	
	тәтем,	
	кім айттым.	
	Тәтем отыр.	My sister was sitting.
	Сосын айттым,	"Then I said, ""That's it! You're not going back to him."""
	бітті бармайсың дедім мынаған.	
	Сендер сөйтіп адам болмая қойыңдаршы.	"""I don't want you to be people like that."""
SPK0023	Мхм.	Yes.
SPK0026	Сен осы Ах-,	"""You dump Zheksen"", I said."
	¬Жексентен отказ бер.	
SPK0023	Мхм.	Yes.
SPK0026	Болды.	"""That's it. That's all"""
	Бітті деп.	
